timestamp_ms,x,y,z
295916,0.73,0.49,0.06
295929,0.61,0.49,0.06
295942,0.49,0.49,0.06
295955,0.55,0.49,0.06
295968,0.55,0.49,0.06
295981,0.49,0.55,0.00
295995,0.49,0.49,0.00
296008,0.43,0.49,0.00
296021,0.37,0.49,0.06
296034,0.98,0.49,0.06
296047,0.43,0.49,0.06
296060,0.06,0.43,0.00
296073,0.92,0.49,0.06
296086,0.43,0.49,0.00
296099,0.67,0.49,0.06
296112,0.92,0.49,0.06
296125,0.67,0.49,0.06
296137,0.24,0.49,-0.06
296151,0.67,0.49,0.00
296164,0.37,0.49,0.00
296177,0.43,0.49,0.00
296190,0.73,0.55,0.06
296203,0.92,0.55,0.12
296216,0.79,0.49,0.12
296230,0.61,0.49,0.06
296242,0.67,0.49,0.06
296255,0.67,0.49,0.06
296268,0.49,0.49,0.06
296281,0.49,0.49,0.00
296295,0.55,0.49,0.00
296309,0.31,0.49,0.00
296322,0.49,0.49,0.00
296335,0.61,0.43,0.00
296349,0.24,0.43,0.06
296362,0.31,0.43,0.06
296375,0.61,0.49,0.12
296388,0.67,0.49,0.12
296400,0.49,0.43,0.06
296412,0.43,0.43,0.06
296425,0.55,0.49,0.00
296437,0.31,0.43,0.00
296450,0.55,0.49,0.00
296462,0.98,0.49,0.06
296475,0.85,0.49,0.06
296489,0.67,0.49,0.00
296501,0.79,0.49,0.06
296514,0.67,0.49,0.06
296527,0.61,0.55,0.00
296540,0.67,0.49,0.06
296553,0.61,0.49,0.06
296566,0.61,0.49,0.06
296578,0.55,0.49,0.06
296591,0.67,0.49,0.06
296604,0.61,0.49,0.00
296617,0.37,0.49,0.00
296630,0.61,0.49,0.00
296643,0.55,0.49,0.06
296656,0.61,0.43,0.00
296669,0.37,0.49,0.00
296682,0.24,0.49,0.00
296695,0.61,0.55,0.00
296708,0.24,0.49,0.06
296721,0.98,0.55,0.12
296734,1.34,0.61,0.12
296747,0.92,0.55,0.06
296760,-0.12,0.43,-0.06
296773,0.61,0.49,0.00
296786,0.43,0.49,0.06
296799,0.92,0.49,0.00
296814,0.37,0.43,0.00
296827,0.43,0.49,0.06
296840,0.85,0.49,0.06
296853,0.24,0.49,0.00
296866,0.06,0.49,0.00
296879,1.04,0.55,0.06
296892,0.73,0.55,0.06
296904,0.31,0.49,0.06
296917,0.79,0.49,0.06
296930,0.61,0.43,0.06
296944,0.12,0.49,0.00
296957,0.73,0.49,0.00
296970,0.73,0.55,0.00
296983,0.24,0.49,0.00
296996,0.61,0.55,0.00
297009,0.49,0.49,0.00
297022,0.61,0.55,0.00
297035,0.61,0.49,0.00
297048,0.49,0.49,0.06
297061,0.61,0.49,0.06
297074,0.55,0.49,0.06
297087,0.37,0.49,0.06
297100,0.55,0.43,0.06
297113,0.43,0.43,0.00
297126,0.31,0.49,0.00
297139,0.85,0.49,0.06
297152,0.55,0.49,0.00
297165,0.31,0.49,0.00
297178,0.73,0.49,0.06
297191,0.55,0.49,0.06
297203,0.49,0.49,0.00
297217,0.73,0.55,0.06
297230,0.79,0.55,0.06
297243,0.31,0.49,0.06
297255,0.61,0.49,0.06
297268,0.67,0.49,0.00
297280,0.24,0.49,0.00
297293,0.43,0.49,0.00
297306,0.43,0.49,0.06
297319,0.37,0.49,0.06
297332,0.67,0.49,0.06
297345,0.37,0.49,0.06
297358,0.73,0.49,0.06
297371,0.37,0.49,0.06
297384,0.67,0.49,0.06
297397,0.92,0.49,0.12
297410,0.37,0.49,0.00
297424,0.37,0.49,0.00
297437,0.67,0.49,0.00
297451,0.43,0.49,-0.06
297464,0.37,0.49,0.00
297477,0.85,0.55,0.06
297492,0.37,0.49,0.00
297505,0.43,0.49,0.06
297518,0.73,0.55,0.06
297532,0.37,0.55,0.06
297545,0.37,0.49,0.06
297558,0.73,0.49,0.06
297571,0.43,0.49,0.06
297584,0.55,0.49,0.06
297597,0.61,0.49,0.06
297609,0.37,0.49,0.00
297622,0.55,0.49,0.06
297635,0.37,0.49,0.06
297648,0.55,0.55,0.06
297661,0.49,0.49,0.06
297674,0.31,0.49,0.06
297687,0.92,0.55,0.06
297700,0.61,0.49,0.06
297713,0.24,0.49,0.06
297726,0.79,0.49,0.00
297740,0.73,0.49,0.06
297753,0.31,0.43,0.00
297766,0.73,0.49,0.06
297779,0.37,0.49,0.00
297791,0.24,0.43,0.06
297804,0.67,0.49,0.06
297817,0.61,0.55,0.06
297830,0.31,0.49,0.00
297843,0.43,0.55,0.06
297856,0.67,0.49,0.06
297869,0.37,0.49,0.00
297882,0.55,0.49,0.06
297895,0.61,0.49,0.06
297908,0.49,0.49,0.06
297921,0.55,0.49,0.06
297934,0.55,0.49,0.00
297947,0.49,0.49,0.06
297961,0.43,0.49,0.00
297974,0.55,0.43,0.00
297986,0.37,0.49,0.00
297999,0.43,0.49,0.06
298013,0.73,0.49,0.06
298028,0.31,0.49,0.06
298042,0.67,0.49,0.06
298055,0.49,0.49,0.06
298068,0.85,0.55,0.06
298081,0.73,0.49,0.06
298094,0.43,0.43,0.06
298107,0.61,0.49,0.00
298120,0.49,0.43,0.06
298134,0.49,0.49,0.00
298147,0.67,0.49,0.06
298160,0.31,0.49,0.06
298173,0.49,0.49,0.06
298187,0.73,0.49,0.12
298200,0.43,0.49,0.06
298213,0.37,0.49,0.06
298226,0.85,0.55,0.06
298239,0.49,0.49,0.06
298252,0.24,0.49,0.00
298265,0.73,0.49,0.00
298277,0.61,0.49,0.06
298290,0.43,0.49,0.06
298303,0.49,0.49,0.00
298317,0.43,0.55,0.06
298330,0.61,0.49,0.06
298343,0.43,0.49,0.06
298356,0.73,0.49,0.06
